"RIAGENDR","RIDAGEYR","RIDRETH3","DMQMILIZ","DMDBORN4","DMDCITZN","DMDEDUC2","SIALANG","SIAINTRP","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","WTINT2YR","INDFMPIR"
"1",26,"4",0,"1","1","3","1","2",1,0,0,0,"1",51,"1","5","5",17358.576537,0.34
"1",27,"3",0,"1","1","4","1","2",2,0,0,0,"2",38,"1","4","5",28531.662525,0.97
"1",32,"4",0,"1","1","2","1","2",2,0,0,0,"2",29,"1","2","5",21527.63823,0.76
"2",80,"3",0,"1","1","5","1","2",1,0,0,1,"2",80,"1","5","5",58594.123256,1.06
"2",75,"3",0,"1","1","4","1","2",2,0,0,2,"1",75,"1","3","1",30776.203331,1.37
"1",60,"2",0,"2","1","2","2","2",2,0,0,2,"2",63,"2","2","1",6363.706266,0.83
"1",64,"1",0,"2","1","3","2","2",3,0,0,2,"2",68,"2","1","1",12910.61342,3.33
"1",23,"4",0,"1","1","4","1","2",2,0,0,0,"2",47,"1","5","3",28112.467707,5
"2",70,"4",0,"1","1","4","1","2",2,0,0,2,"2",70,"1","4","1",22739.090016,5
"2",37,"1",0,"2","2","2","2","2",7,1,3,1,"2",37,"2","2","1",33190.678689,0.56
"1",30,"3",0,"1","1","3","1","2",3,1,0,0,"1",30,"1","3","1",74416.486124,0.51
"1",31,"4",0,"1","1","3","1","2",6,1,1,0,"2",24,"1","4","5",23747.624207,1.42
"2",41,"1",0,"2","2","1","2","2",5,0,2,0,"1",44,"2","2","1",29229.985568,0.89
"2",53,"3",0,"1","1","4","1","2",2,0,0,0,"2",53,"1","4","1",117939.178644,5
"1",28,"4",0,"2","1","3","1","2",3,1,0,0,"1",28,"2","3","6",24419.805262,2.3
"1",66,"3",1,"1","1","4","1","2",1,0,0,1,"1",66,"1","4","3",89854.825647,1.74
"1",48,"1",0,"1","1","3","1","2",5,1,1,0,"1",48,"1","3","3",27494.677312,0.73
"1",42,"1",0,"1","1","4","1","2",1,0,0,0,"1",42,"1","4","5",24378.670606,0.17
"2",31,"4",0,"1","1","5","1","2",3,1,0,0,"1",46,"1","4","1",31872.195672,5
"1",49,"4",0,"1","1","3","1","2",7,3,1,0,"2",45,"1","3","1",19056.23214,1.37
"1",45,"4",1,"1","1","5","1","2",1,0,0,0,"1",45,"1","5","5",28939.276469,5
"2",75,"4",0,"2","1","4","1","2",1,0,0,1,"2",75,"2","4","2",13558.096482,4.11
"1",34,"1",0,"1","1","5","1","2",5,1,2,0,"2",36,"1","3","1",56366.470183,3.45
"2",64,"3",0,"1","1","4","1","2",2,0,0,1,"2",64,"1","4","2",46841.966041,1.02
"1",30,"6",0,"1","1","5","1","2",3,0,0,0,"1",59,"2","5","1",17771.282846,5
"2",61,"3",0,"1","1","3","1","2",2,0,0,2,"2",61,"1","3","1",79840.680841,5
"2",36,"6",0,"2","1","3","1","2",5,0,2,2,"1",75,"2","5","1",12722.095895,1.43
"2",43,"2",0,"2","1","2","1","2",3,0,1,0,"2",43,"2","2","1",30161.780581,2.78
"1",56,"1",0,"1","1","4","1","2",2,0,0,1,"2",80,"1","4","2",23344.023727,1.03
"2",50,"6",0,"2","1","5","1","2",3,0,1,0,"1",54,"2","5","1",17567.985688,5
"1",20,"3",0,"1","1","4","1","2",1,0,0,0,"1",20,"1","4","5",34134.506164,1.04
"1",57,"3",0,"1","1","4","1","2",2,0,0,1,"2",80,"2","4","2",24480.285098,0.64
"1",36,"7",0,"1","1","3","1","2",6,0,4,0,"1",36,"1","3","1",83613.322042,2.15
"2",40,"6",0,"2","2","5","1","2",3,0,2,0,"2",40,"2","5","2",14331.774395,3.07
"2",32,"4",0,"1","1","4","1","2",4,0,2,0,"2",58,"1","3","2",20821.773551,1.68
"1",66,"3",1,"1","1","5","1","2",2,0,0,2,"2",63,"2","5","1",95025.814862,5
"1",48,"4",1,"1","1","4","1","2",5,0,0,1,"1",48,"1","4","1",18058.792867,0.86
"1",63,"4",0,"1","1","2","1","2",3,0,0,2,"2",63,"1","5","1",10245.07186,4.04
"2",68,"4",0,"1","1","3","1","2",3,0,0,1,"2",68,"1","3","4",18888.577559,0.77
"2",31,"4",0,"1","1","5","1","2",5,2,1,0,"2",31,"1","5","1",22614.55986,2.15
"1",23,"3",0,"1","1","4","1","2",1,0,0,0,"1",23,"1","4","5",33348.223813,1.2
"2",34,"4",0,"1","1","2","1","2",2,0,0,0,"2",29,"1","2","5",32321.865924,1.61
"2",71,"3",0,"1","1","4","1","2",2,0,0,2,"2",71,"1","4","1",63863.900338,2.58
"2",49,"3",0,"1","1","4","1","2",2,0,0,0,"1",51,"1","4","1",102643.24476,3.18
"1",40,"3",0,"1","1","3","1","2",5,0,2,0,"1",40,"1","3","1",97260.778364,1.61
"1",55,"4",0,"2","1","5","1","2",2,0,0,0,"1",55,"2","5","1",22021.375122,5
"2",68,"1",0,"2","2","1","2","2",5,1,1,1,"2",32,"2","3","1",12757.3366,1.27
"2",56,"3",0,"1","1","4","1","2",2,0,0,0,"1",56,"1","3","1",117280.086734,5
"1",49,"6",0,"2","1","5","1","2",4,2,0,0,"1",49,"2","5","1",25524.499816,3.4
"1",22,"4",0,"1","1","4","1","2",3,1,0,0,"1",22,"1","4","6",33348.260545,0.26
"2",66,"1",0,"2","1","1","2","2",7,1,2,1,"2",66,"2","1","2",14454.09628,0.35
"1",45,"3",1,"1","1","4","1","2",2,0,0,0,"2",44,"1","5","5",22855.386414,1.63
"1",42,"4",0,"1","1","2","1","2",6,3,0,0,"1",42,"1","2","1",34060.314982,2.19
"2",57,"4",0,"1","1","2","1","2",4,0,0,1,"1",60,"1","3","1",31251.388818,1.05
"1",22,"4",0,"1","1","4","1","2",1,0,0,0,"1",22,"1","4","5",17271.753972,3
"2",47,"3",0,"1","1","5","1","2",4,0,1,0,"1",54,"1","5","1",63336.628988,4.25
"1",80,"3",1,"1","1","5","1","2",1,0,0,1,"1",80,"1","5","2",41235.436372,5
"1",20,"1",0,"2","2","4","1","2",5,0,2,0,"1",44,"2","2","1",44138.304322,0.89
"2",54,"4",0,"1","1","4","1","2",1,0,0,0,"2",43,"1","2","5",21574.291967,0.13
"2",41,"6",0,"2","2","5","1","2",4,1,1,0,"2",41,"2","5","1",17162.348381,0.86
"1",73,"3",1,"1","1","3","1","2",1,0,0,1,"1",73,"1","3","5",11017.775124,0.86
"1",38,"1",0,"2","2","1","2","2",2,0,0,0,"2",49,"2","1","3",48613.388071,2.86
"2",41,"3",0,"2","1","4","1","2",4,0,2,0,"1",45,"2","5","1",54512.962485,5
"1",80,"3",1,"1","1","3","1","2",2,0,0,2,"1",80,"1","3","1",31819.329646,1.78
"2",62,"4",0,"2","1","5","1","2",2,0,0,1,"2",62,"2","5","3",14721.038531,2.29
"2",44,"3",0,"1","1","4","1","2",4,1,0,1,"2",44,"1","4","3",32939.067721,1.27
"2",20,"6",0,"1","1","4","1","2",4,0,0,0,"1",56,"2","4","1",23961.539365,5
"2",40,"3",0,"1","1","3","1","2",3,1,0,0,"2",43,"1","3","3",73461.791386,3.28
"1",57,"1",0,"2","1","1","2","2",3,0,0,0,"1",32,"1","4","5",22251.652505,2.69
"1",38,"2",0,"2","2","2","2","2",7,1,3,1,"2",37,"2","2","1",43577.792379,0.56
"2",63,"4",0,"1","1","5","1","2",2,0,0,2,"1",63,"1","2","1",15890.836481,2.19
