"RIAGENDR","RIDAGEYR","RIDRETH3","DMQMILIZ","DMDBORN4","DMDCITZN","DMDEDUC2","SIALANG","SIAINTRP","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","WTINT2YR","INDFMPIR"
"1",32,"2",1,"1","1","4","1","2",1,0,0,0,"1",32,"1","4","5",52470.116042,5
"1",38,"1",0,"1","1","3","1","2",5,1,2,0,"1",38,"1","3","1",34519.137335,1.58
"1",35,"4",1,"1","1","4","1","2",1,0,0,0,"2",44,"1","3","2",27953.997263,0.05
"1",64,"3",1,"1","1","5","1","2",1,0,0,1,"1",64,"1","5","3",76751.08829,2.06
"2",49,"3",0,"1","1","5","1","2",4,0,1,1,"2",49,"1","5","1",93416.942697,4.35
"1",28,"1",0,"1","1","5","1","2",2,0,0,0,"2",27,"2","5","1",53506.258206,3.18
"1",40,"4",0,"1","1","3","1","2",6,0,4,0,"1",40,"1","3","1",27341.960646,1.44
"2",54,"3",1,"1","1","4","1","2",2,0,0,0,"1",44,"1","5","1",115082.96103,3.55
"2",33,"3",0,"1","1","4","1","2",4,0,2,0,"1",33,"1","3","1",84931.89592,2.52
"1",68,"2",0,"2","1","1","2","2",1,0,2,1,"1",68,"2","1","3",18552.911136,0.86
"1",69,"2",1,"2","1","3","1","2",1,0,0,1,"1",69,"2","3","3",18814.734899,0.72
"1",70,"3",0,"1","1","5","1","2",2,0,0,2,"1",70,"1","5","1",81342.875018,5
"1",55,"3",1,"1","1","4","1","2",3,0,1,0,"1",55,"1","4","1",22060.326312,0.61
"1",47,"6",0,"2","1","5","1","2",4,0,2,0,"2",45,"2","5","1",26373.741511,5
"1",72,"3",1,"1","1","2","1","2",5,0,0,3,"1",72,"1","2","1",51435.39666,4.48
"1",80,"3",1,"1","1","5","1","2",1,0,0,1,"1",80,"1","5","1",22208.518877,1.29
"1",57,"2",1,"1","1","4","1","2",4,0,2,0,"1",57,"1","4","1",21935.420532,4.19
"2",43,"7",0,"2","1","5","1","2",7,0,2,0,"2",43,"2","5","1",51223.793769,3.37
"2",40,"6",0,"2","2","5","1","2",4,1,1,0,"2",40,"2","5","1",14689.126638,1.68
"1",70,"1",0,"1","1","3","1","2",3,0,1,2,"1",70,"1","3","1",13846.32795,2.05
"2",34,"3",0,"1","1","5","1","2",2,0,0,0,"1",32,"1","5","1",107737.369017,5
"1",55,"3",1,"1","1","3","1","2",7,0,0,0,"1",55,"1","3","1",76594.574302,2.27
"1",80,"3",1,"1","1","3","1","2",2,0,0,2,"1",80,"1","3","1",29262.26112,5
"2",40,"4",0,"2","2","2","1","1",5,1,2,0,"1",49,"2","1","1",22566.402094,1.16
"1",52,"3",0,"1","1","5","1","2",2,0,0,0,"1",52,"1","5","1",120938.407068,5
"1",56,"3",1,"1","1","5","1","2",1,0,0,0,"1",56,"1","5","5",23192.46402,1.03
"1",54,"3",0,"1","1","2","1","2",3,0,0,0,"1",54,"1","2","1",114630.838071,5
