"SEQN","RIDAGEYR","DMDHRAGE","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA","INDHHIN2","INDFMIN2","INDFMPIR"
76576,80,80,24635.680812,26116.109662,1,104,14,14,5
76577,23,47,32145.74355,33224.684936,1,114,6,5,1.02
76578,43,44,37929.243164,38430.421832,2,109,8,6,2.57
76579,16,33,10813.424761,11643.978715,2,110,3,3,0.52
76580,71,71,27080.287892,29994.509667,1,110,7,7,2.39
76581,13,36,38931.589883,39876.953167,2,106,10,10,2.58
76582,3,25,11317.702816,11536.725085,2,108,9,9,2.78
76583,15,45,8395.163646,8449.373107,1,118,5,5,0.56
76584,49,49,25595.137195,25274.948711,2,106,15,15,5
76585,6,26,11923.587281,13020.145809,2,108,9,9,1.88
76586,45,45,27191.901215,29478.960551,2,105,2,2,0.82
76587,62,62,9072.365974,9320.726604,1,107,15,15,3.79
76588,13,37,14176.393822,13758.703416,2,112,5,5,0.56
76589,38,38,17422.87721,18695.061445,2,112,3,3,1.11
76590,67,67,14469.499359,14402.162375,2,114,8,8,4.28
76591,28,56,104953.581127,107261.614196,1,111,15,15,5
76592,5,51,11085.409261,11623.163766,1,118,15,15,5
76593,76,76,21243.547641,21723.869585,2,112,2,2,0.73
76594,10,40,44589.412552,45046.06773,1,114,15,15,5
76595,11,40,8790.798024,9272.17779,2,111,2,2,0.16
76596,46,47,91441.804782,92018.791395,2,105,8,8,2.2
76597,41,33,113405.908888,113062.609818,1,105,5,5,0.89
76598,40,40,28509.568141,28143.937922,1,117,9,9,2.55
76600,40,34,24192.767674,27186.625753,1,113,1,1,0.03
76601,39,36,43319.182361,45913.92991,2,106,10,10,2.58
76602,40,40,25641.215296,25320.450387,2,114,3,3,0.7
76603,12,55,23022.757956,23566.089798,1,113,1,1,0.02
76604,61,61,21716.956264,22543.096002,1,108,5,3,1.1
76605,12,56,11492.995472,12471.779745,2,117,4,4,0.49
76606,57,57,15152.378708,16392.743306,2,110,15,15,5
76607,2,23,17620.795588,18197.327095,2,111,2,2,0.35
76609,21,21,18235.900105,20535.41919,2,117,4,4,0.5
76610,7,47,5403.357869,7112.713883,2,117,5,5,1.27
76611,16,44,17893.43236,17500.98338,2,115,5,5,0.89
76612,62,62,15599.966039,15527.645801,1,110,15,15,4.25
76613,32,32,21488.315802,22603.082785,1,104,15,15,5
76614,41,41,91249.402337,91747.79432,2,113,15,15,5
76615,69,69,35067.655045,35354.829024,1,115,6,6,1.81
76616,69,72,79840.680841,80368.921229,2,105,14,14,5
76617,18,18,13251.194129,13645.448682,1,108,5,5,0.85
76618,9,36,8928.672861,9470.833993,1,111,14,14,2.9
76619,31,31,39326.824047,43435.945311,1,105,3,3,0.96
76620,3,51,13254.995996,15458.727685,2,115,3,3,0.48
76621,1,19,8807.307751,9072.644492,1,114,3,3,0.72
76622,22,60,32950.821265,33378.756231,2,114,6,6,1.05
76623,41,50,35862.473154,36336.342523,1,106,6,6,1.28
76624,51,51,30130.547243,31763.490549,1,114,4,4,1.48
76625,10,40,9901.746684,10163.253649,1,108,6,4,0.7
76626,51,63,130319.531266,130773.233853,2,112,14,14,5
76627,76,52,20864.653362,20988.055997,1,111,5,5,1.04
